a,Fit,M&W,Baumann
0.5,0.21162686321851254,0.23569682995673327,-1.7328408468113654
0.555,0.19756616332848154,0.2614309705212533,9.24372297264103
0.61,0.25889635679364176,0.2871929828241066,-6.4998046044839874
0.665,0.24936471232295787,0.3132375262065226,-9.693674562373534
0.72,0.30234589792405586,0.3394486167640639,-8.088169831024006
0.775,0.32814207454475053,0.36571492914586096,1.510431210638613
0.83,0.35577179047766805,0.3914321626804188,4.59747139360352
0.885,0.37501508021964725,0.4173698300752535,5.5937482860585845
0.94,0.39870465079892625,0.44330158528254976,2.377898747430876
0.995,0.4193644690522156,0.46946671449135313,-1.7160291643243357
1.05,0.44085569735622343,0.49553719244724154,-1.5444900503768335
1.105,0.46446724641283055,0.5214942644594436,-1.6906755311868058
1.16,0.49269351532851147,0.5473785513241257,2.598183048200696
1.215,0.5151658244257682,0.5736401722115411,1.8823068711544548
1.27,0.5296798020634732,0.5991160307814715,2.2084239394471217
1.325,0.5635230080626705,0.625501509253553,4.411814339246205
1.38,0.5892468870360545,0.6516296790933274,0.6564760707355072
1.435,0.6164342066243762,0.6777169848720138,0.6835071876863819
1.49,0.6367150427797341,0.703555486720702,1.6757490759409284
1.545,0.6597449955576451,0.729908429735698,0.7302955656302167
1.6,0.686118369953352,0.7561491429767544,0.6610861905222414
1.655,0.7080270530393058,0.7821333103265138,1.999517742818668
1.71,0.7349796768321397,0.8081705229821573,5.317279383503728
1.765,0.7559713748768644,0.8345377350920749,-3.3855689743124637
1.82,1.352803696463205,0.9737442719648359,308.5721776377705
1.875,0.8802929138533777,0.9426179254492838,-1465.271476269108
1.93,1.619010854402931,0.6786559827556099,-1501.0914887260305
1.985,1.2462126501721116,0.9378447966323942,2764.4905492012927
2.04,0.6630622291258312,0.8615601615231032,2508.075071074338
2.095,1.3818287377761092,1.0188963455188491,-309.0251864027128
2.15,0.7312047602173126,0.9512834981037623,733.2588981544664
2.205,0.9713283509718629,0.9538593548359667,-949.8499335629076
2.26,1.0264384094760337,0.9404444910816565,-250.41813865343715
2.315,0.8522336351523951,0.8793133974207692,-13623.827932586315
2.37,-0.13524891771408765,0.9613481181393895,1194.3005302298343
2.425,1.5678202898173375,0.8179699526931452,-608.5934295795254
2.48,0.31651191089362785,0.7949115889270443,1109.9762361090363
2.535,0.5660430036216295,0.7241317378193489,3062.347144029288
2.59,0.9964567921954854,0.8277057939344004,856.9794190687622
2.645,0.8578538975822134,0.8422385817878787,908.748747189353
2.7,0.7694565311503547,0.8167668144509129,-1831.1826323290422
2.755,0.3409155919011866,0.8009102639157029,507.37003169678997
2.81,0.7955084262348846,0.7834173200778639,-462.68681494132477
2.865,1.1703457949551788,0.6384257007920808,-390.76994417805025
2.92,0.03126430357901011,0.8531994256978715,292.7447197326028
2.975,0.8317668742048332,0.8642586976762145,-395.297220256333
3.03,-0.8465671704267059,0.6376022109227615,1559.1236557739537
3.085,0.6472852271426532,0.7736640357651187,-414.4846182087892
3.14,0.05352251246478623,0.7680358073242598,-4.08684313642749
3.195,0.6187392820168096,0.7875194708175006,-77.1119700931037
3.25,1.1133551962068342,0.72796349998608,-175.8786804131731
3.305,0.6342555092075566,0.6975260221277733,-7.595554985031567
3.36,0.5700357897963055,0.7255432812355934,-131.9264810113682
3.415,0.7106655945152962,0.7644252715693842,438.19930754487564
3.47,0.7252055654175162,0.7120343826652008,-150.35370129496891
3.525,0.8841484252712846,0.7173935341195318,-460.1375092062517
3.58,0.36715358612083904,0.677817535962247,-276.5671764338794
3.635,0.5974313696728419,0.7319054535248726,-143.9894005972406
3.69,0.6545747091966083,0.6896793098249907,17.04728986223485
3.745,0.6874456988927466,0.7380860416423797,-1000.6832890972898
3.8,0.8760428135440765,0.7026137747891005,669.4566504765667
3.855,0.5439057408371877,0.7622087904579328,-1593.2509176346541
3.91,0.6764922482470599,0.7019543928253206,1938.3120822893984
3.965,0.8085218610826761,0.7284249233452033,55.3392759414037
4.02,1.005096195085617,0.7448417623142338,-316.49746570526975
4.075,0.7491667741007988,0.6644991324230897,-3885.0123320156044
4.13,0.6865762856768693,0.6990903870575501,407.72512930715243
4.185,0.7585111307373342,0.7178527379435969,26.2566935009595
4.24,0.6710886456084637,0.674955011867618,-11.846230596658422
4.295,0.5041514568092484,0.7313042765253591,48.80803369212225
4.35,0.8970574871696098,0.7686323981568607,110.49167407072488
4.405,1.000569609957716,0.8006394840049004,35.51637264230399
4.46,0.6887469435548628,0.7234847594532811,748.8434044743598
4.515,1.6170607546108862,0.7585567007795484,-315.932298694967
4.57,0.7588494295136723,0.7313129679285735,-797.7887664495898
4.625,0.7608639573780458,0.7204184318256925,-1294.281460600914
4.68,0.682562716125739,0.7303511451665223,-1025.596975045574
4.735,0.7390115531113848,0.7121388233764956,312.6729571392575
4.79,0.8308600321394506,1.1149376885772893,-28545.806671521415
4.845,0.4520954404145767,0.7238260809518974,698.8970862584108
4.9,0.8702236397240162,0.7489690133017715,-2239.063476915705
4.955,0.8115560437016756,0.7007861446697284,-335.53511211691944
5.01,0.8382037720039301,0.7618860724695476,-980.6664259098641
5.065,0.880032336559796,0.7219562095645775,250.59608388091652
5.12,0.7459820333391418,0.6990606588008209,752.1335329612252
5.175,0.6604165201994263,0.692664265190329,-670.8035348284421
5.23,0.290673326222743,0.6902234146901172,-475.39545823968626
5.285,0.5908981988805371,0.520684383145306,1306.404053310097
