a,Fit,M&W,Baumann
0.5,0.21243224555513507,0.23589528449570146,0.23609218784281966
0.555,0.19930649473801765,0.2608158808756359,0.2610805431772731
0.61,0.25560802368813995,0.2875426286919756,0.28775652109322447
0.665,0.24780153465014365,0.3117019777438233,0.3121523693002682
0.72,0.30401485200284384,0.3394676944798061,0.34015837843603447
0.775,0.32734253210194453,0.36619018708406403,0.36680429051201224
0.83,0.3517533656051981,0.3914132318492993,0.39210865503622355
0.885,0.37779096155346537,0.4170657365834005,15.506046981190913
0.94,0.399268031849644,0.44338499484421584,0.4443418074029549
0.995,0.42300108806876224,0.4693824030055064,0.47075654614707213
1.05,0.4419346823114054,0.49550908019943496,19.813466736200642
1.105,0.47282794912838355,0.5216211503136915,0.5233171444141126
1.16,0.4942646988057078,0.5474274424118023,0.5493074458925391
1.215,0.5178979582435446,0.5738706155570884,0.575848992670554
1.27,0.5295895049786843,0.5981290910497421,0.6005725979995978
1.325,0.565751824141028,0.6255622364531084,0.6281416659206303
1.38,0.589658308908124,0.651629804404878,0.6548323174898187
1.435,0.6200116651604688,0.6777387095650544,0.6812576496072378
1.49,0.6391867081570233,0.7039817545603072,0.7078219229707939
1.545,0.6616458937671972,0.7299082206811979,0.734802957426962
1.6,0.6823459729152432,0.7562795970795708,0.7606079879786055
1.655,0.709895029329239,0.7821624922735533,0.7871885059498342
1.71,0.7341064672214763,0.808312410043103,0.8140321123837344
1.765,0.7583689698585232,0.8344763676637758,0.8409817692831113
1.82,1.3844691371139355,1.0846903047515557,1.0920772319712886
1.875,0.721363793610001,0.8516212285330174,0.8668764889323237
1.93,-0.9076439003772174,-0.33957384388137996,-0.34668470326843603
1.985,1.2506864472758092,1.0255440501838413,1.0380097430020285
2.04,0.7612594201672636,0.700464249477404,0.7079630880896832
2.095,0.9493550175384762,0.9320982465125097,0.942297255723436
2.15,0.6676074400964017,0.7763275868877746,0.7869463464247815
2.205,1.0232500468707038,0.8736533268025309,0.8842647981344677
2.26,1.6226641023642525,1.2123600134938544,1.2201750778348839
2.315,1.1799502796383308,1.007618027082987,1.05256303364079
2.37,0.33101451623171796,1.161399593261616,1.1838419166222003
2.425,1.9900110545966072,0.8865378650774653,0.8946581565751641
2.48,0.6719768597255459,0.7353818376438996,0.7228863327432091
2.535,0.5659396771436617,0.6785424589273984,0.6847171622815952
2.59,1.2158057698270532,0.9243616172936796,0.9319468780481346
2.645,1.1455866329744904,0.9478086079954563,0.9643964449691325
2.7,0.9866215052512581,0.897094047996071,0.9115417522046122
2.755,0.3559567814803444,0.6956613959884229,0.7060857836525493
2.81,1.1511480107525127,0.9236020162850344,0.9379888092467651
2.865,0.5621756877877666,0.061825831783944636,0.06410612266706336
2.92,-0.39944364637735497,0.8468848277626603,0.8655847270071323
2.975,1.053667024143877,1.0181634448349215,1.03802394979541
3.03,-0.44710893671208574,0.4628030834860936,0.47257570509197644
3.085,0.9042315937628773,0.8441885113992857,0.8598420174300019
3.14,-0.48351151339453224,0.8468845808641671,0.8661321533852173
3.195,0.6285084063695301,0.746165599423577,0.7625882096364647
3.25,1.0958719751779444,0.7282953332302379,0.743749062359354
3.305,0.5966200023735468,0.7368175845862668,0.7567307679416762
3.36,0.5263837479236866,0.6857439801517974,0.7000923026321885
3.415,0.8149666040666377,0.8340818669691124,-111.00841868804483
3.47,0.5692002130916887,0.6611935235572918,0.6743561877715591
3.525,0.8864405497397314,0.7394617511369196,0.7516797173285378
3.58,0.3838711251497777,0.6578561451049949,0.6735163002646088
3.635,0.5213636433182112,0.6717631687364466,0.68747488797483
3.69,0.715662367323807,0.7280205099930974,0.744256177185064
3.745,0.6598715892976523,0.7178397125429662,0.733829145654546
3.8,0.8561456177796813,0.723780940152444,0.7402151880983645
3.855,0.549200747791919,0.7070938217127435,0.7228756624963647
3.91,0.6755236749634657,0.7224012337819083,0.7387734630680437
3.965,0.7631542213511686,0.7591380455247885,0.777267764063272
4.02,1.0575255916886164,0.7837296453003657,0.8048321791515983
4.075,0.7888087024077857,0.8407081100880518,0.8707507164659009
4.13,0.7128038175422393,0.7240470506080625,0.7432908960468878
4.185,0.6780194164736102,0.6937029620239038,0.7119926197163232
4.24,0.6994538181171954,0.7089065017577845,0.7311580224666557
4.295,0.43554933275780083,0.6462695484678848,0.664029331378164
4.35,0.9220461779148197,0.8269877026599881,0.8463299835683932
4.405,0.9093315533709658,0.8061096733995997,0.8284676284867495
4.46,0.4535477765268725,0.6636988624880604,0.6833948385810924
4.515,1.763984506841613,0.8249467409067535,0.8503352907376613
4.57,0.8257424985619357,0.7799543847570547,0.8036300838648861
4.625,0.7757415796786065,0.7384390267236121,0.7600096546523797
4.68,0.6009894101748956,0.7288388338141907,0.7458526146361093
4.735,0.7100965264634276,0.7457298674165429,0.7668940096980573
4.79,0.8934667356763493,0.8315718407796862,0.8607026366636177
4.845,0.4122000122992988,0.657178548218835,0.6788668715233075
4.9,0.8600135003676739,0.78759812697863,0.8098312995440964
4.955,0.9250493995336644,0.7998128740361162,0.8241284593856891
5.01,0.7689731000339419,0.7274157416039427,0.7477508378638927
5.065,0.8709120431218542,0.7585451037198147,0.7793592108571671
5.12,0.7455303529226267,0.7491439391904512,0.7694047552576807
5.175,0.6468255774987695,0.7157241473820226,0.7369905495844237
5.23,0.2745296729249973,0.5986147286840217,0.6246576593025379
5.285,0.7564002861681312,0.7418977633060237,0.7680335410193385
